3,9,6,13,7,16,12,2,4,8,15,5,1,11,14,10
11,10,1,14,4,8,15,5,7,16,12,2,6,3,13,9
4,15,5,8,3,13,9,6,11,14,10,1,2,7,16,12
7,12,2,16,11,14,10,1,3,13,9,6,5,4,8,15
12,13,7,2,10,1,16,11,9,6,8,3,4,15,5,14
9,8,3,6,12,2,13,7,15,5,14,4,11,10,1,16
10,16,11,1,15,5,14,4,12,2,13,7,3,9,6,8
15,14,4,5,9,6,8,3,10,1,16,11,7,12,2,13
6,3,13,12,2,10,7,16,5,9,4,8,14,1,15,11
2,7,16,10,1,15,11,14,6,12,3,13,8,5,9,4
1,11,14,15,5,9,4,8,2,10,7,16,13,6,12,3
5,4,8,9,6,12,3,13,1,15,11,14,16,2,10,7
13,6,12,7,16,11,2,10,8,3,5,9,15,14,4,1
16,2,10,11,14,4,1,15,13,7,6,12,9,8,3,5
8,5,9,3,13,7,6,12,14,4,1,15,10,16,11,2
14,1,15,4,8,3,5,9,16,11,2,10,12,13,7,6
