15,13,16,14,12,1,22,24,25,23,3,2,4,5,6,10,11,7,8,9,19,17,18,21,20
5,3,6,4,2,16,12,14,15,13,18,17,19,20,21,25,1,22,23,24,9,7,8,11,10
20,18,21,19,17,6,2,4,5,3,8,7,9,10,11,15,16,12,13,14,24,22,23,1,25
10,8,11,9,7,21,17,19,20,18,23,22,24,25,1,5,6,2,3,4,14,12,13,16,15
25,23,1,24,22,11,7,9,10,8,13,12,14,15,16,20,21,17,18,19,4,2,3,6,5
12,10,13,11,9,23,19,21,22,20,25,24,1,2,3,7,8,4,5,6,16,14,15,18,17
17,15,18,16,14,3,24,1,2,25,5,4,6,7,8,12,13,9,10,11,21,19,20,23,22
7,5,8,6,4,18,14,16,17,15,20,19,21,22,23,2,3,24,25,1,11,9,10,13,12
2,25,3,1,24,13,9,11,12,10,15,14,16,17,18,22,23,19,20,21,6,4,5,8,7
22,20,23,21,19,8,4,6,7,5,10,9,11,12,13,17,18,14,15,16,1,24,25,3,2
4,2,5,3,1,15,11,13,14,12,17,16,18,19,20,24,25,21,22,23,8,6,7,10,9
9,7,10,8,6,20,16,18,19,17,22,21,23,24,25,4,5,1,2,3,13,11,12,15,14
24,22,25,23,21,10,6,8,9,7,12,11,13,14,15,19,20,16,17,18,3,1,2,5,4
14,12,15,13,11,25,21,23,24,22,2,1,3,4,5,9,10,6,7,8,18,16,17,20,19
19,17,20,18,16,5,1,3,4,2,7,6,8,9,10,14,15,11,12,13,23,21,22,25,24
23,21,24,22,20,9,5,7,8,6,11,10,12,13,14,18,19,15,16,17,2,25,1,4,3
3,1,4,2,25,14,10,12,13,11,16,15,17,18,19,23,24,20,21,22,7,5,6,9,8
13,11,14,12,10,24,20,22,23,21,1,25,2,3,4,8,9,5,6,7,17,15,16,19,18
8,6,9,7,5,19,15,17,18,16,21,20,22,23,24,3,4,25,1,2,12,10,11,14,13
18,16,19,17,15,4,25,2,3,1,6,5,7,8,9,13,14,10,11,12,22,20,21,24,23
21,19,22,20,18,7,3,5,6,4,9,8,10,11,12,16,17,13,14,15,25,23,24,2,1
16,14,17,15,13,2,23,25,1,24,4,3,5,6,7,11,12,8,9,10,20,18,19,22,21
1,24,2,25,23,12,8,10,11,9,14,13,15,16,17,21,22,18,19,20,5,3,4,7,6
6,4,7,5,3,17,13,15,16,14,19,18,20,21,22,1,2,23,24,25,10,8,9,12,11
11,9,12,10,8,22,18,20,21,19,24,23,25,1,2,6,7,3,4,5,15,13,14,17,16
