71,67,65,73,70,69,74,68,66,72,91,86,90,92,85,88,87,93,94,89,45,47,53,46,50,54,51,49,52,48,2,95,96,97,100,4,98,1,99,3,44,43,42,41,36,40,37,35,39,38,9,6,14,8,10,7,5,13,11,12,83,77,81,78,79,76,75,80,82,84,32,27,25,26,34,30,28,33,29,31,61,63,58,56,60,59,64,62,55,57,23,20,24,16,17,18,21,22,19,15
81,77,75,83,80,79,84,78,76,82,1,96,100,2,95,98,97,3,4,99,55,57,63,56,60,64,61,59,62,58,12,5,6,7,10,14,8,11,9,13,54,53,52,51,46,50,47,45,49,48,19,16,24,18,20,17,15,23,21,22,93,87,91,88,89,86,85,90,92,94,42,37,35,36,44,40,38,43,39,41,71,73,68,66,70,69,74,72,65,67,33,30,34,26,27,28,31,32,29,25
21,17,15,23,20,19,24,18,16,22,41,36,40,42,35,38,37,43,44,39,95,97,3,96,100,4,1,99,2,98,52,45,46,47,50,54,48,51,49,53,94,93,92,91,86,90,87,85,89,88,59,56,64,58,60,57,55,63,61,62,33,27,31,28,29,26,25,30,32,34,82,77,75,76,84,80,78,83,79,81,11,13,8,6,10,9,14,12,5,7,73,70,74,66,67,68,71,72,69,65
11,7,5,13,10,9,14,8,6,12,31,26,30,32,25,28,27,33,34,29,85,87,93,86,90,94,91,89,92,88,42,35,36,37,40,44,38,41,39,43,84,83,82,81,76,80,77,75,79,78,49,46,54,48,50,47,45,53,51,52,23,17,21,18,19,16,15,20,22,24,72,67,65,66,74,70,68,73,69,71,1,3,98,96,100,99,4,2,95,97,63,60,64,56,57,58,61,62,59,55
61,57,55,63,60,59,64,58,56,62,81,76,80,82,75,78,77,83,84,79,35,37,43,36,40,44,41,39,42,38,92,85,86,87,90,94,88,91,89,93,34,33,32,31,26,30,27,25,29,28,99,96,4,98,100,97,95,3,1,2,73,67,71,68,69,66,65,70,72,74,22,17,15,16,24,20,18,23,19,21,51,53,48,46,50,49,54,52,45,47,13,10,14,6,7,8,11,12,9,5
41,37,35,43,40,39,44,38,36,42,61,56,60,62,55,58,57,63,64,59,15,17,23,16,20,24,21,19,22,18,72,65,66,67,70,74,68,71,69,73,14,13,12,11,6,10,7,5,9,8,79,76,84,78,80,77,75,83,81,82,53,47,51,48,49,46,45,50,52,54,2,97,95,96,4,100,98,3,99,1,31,33,28,26,30,29,34,32,25,27,93,90,94,86,87,88,91,92,89,85
91,87,85,93,90,89,94,88,86,92,11,6,10,12,5,8,7,13,14,9,65,67,73,66,70,74,71,69,72,68,22,15,16,17,20,24,18,21,19,23,64,63,62,61,56,60,57,55,59,58,29,26,34,28,30,27,25,33,31,32,3,97,1,98,99,96,95,100,2,4,52,47,45,46,54,50,48,53,49,51,81,83,78,76,80,79,84,82,75,77,43,40,44,36,37,38,41,42,39,35
31,27,25,33,30,29,34,28,26,32,51,46,50,52,45,48,47,53,54,49,5,7,13,6,10,14,11,9,12,8,62,55,56,57,60,64,58,61,59,63,4,3,2,1,96,100,97,95,99,98,69,66,74,68,70,67,65,73,71,72,43,37,41,38,39,36,35,40,42,44,92,87,85,86,94,90,88,93,89,91,21,23,18,16,20,19,24,22,15,17,83,80,84,76,77,78,81,82,79,75
1,97,95,3,100,99,4,98,96,2,21,16,20,22,15,18,17,23,24,19,75,77,83,76,80,84,81,79,82,78,32,25,26,27,30,34,28,31,29,33,74,73,72,71,66,70,67,65,69,68,39,36,44,38,40,37,35,43,41,42,13,7,11,8,9,6,5,10,12,14,62,57,55,56,64,60,58,63,59,61,91,93,88,86,90,89,94,92,85,87,53,50,54,46,47,48,51,52,49,45
51,47,45,53,50,49,54,48,46,52,71,66,70,72,65,68,67,73,74,69,25,27,33,26,30,34,31,29,32,28,82,75,76,77,80,84,78,81,79,83,24,23,22,21,16,20,17,15,19,18,89,86,94,88,90,87,85,93,91,92,63,57,61,58,59,56,55,60,62,64,12,7,5,6,14,10,8,13,9,11,41,43,38,36,40,39,44,42,35,37,3,100,4,96,97,98,1,2,99,95
13,9,7,15,12,11,16,10,8,14,33,28,32,34,27,30,29,35,36,31,87,89,95,88,92,96,93,91,94,90,44,37,38,39,42,46,40,43,41,45,86,85,84,83,78,82,79,77,81,80,51,48,56,50,52,49,47,55,53,54,25,19,23,20,21,18,17,22,24,26,74,69,67,68,76,72,70,75,71,73,3,5,100,98,2,1,6,4,97,99,65,62,66,58,59,60,63,64,61,57
43,39,37,45,42,41,46,40,38,44,63,58,62,64,57,60,59,65,66,61,17,19,25,18,22,26,23,21,24,20,74,67,68,69,72,76,70,73,71,75,16,15,14,13,8,12,9,7,11,10,81,78,86,80,82,79,77,85,83,84,55,49,53,50,51,48,47,52,54,56,4,99,97,98,6,2,100,5,1,3,33,35,30,28,32,31,36,34,27,29,95,92,96,88,89,90,93,94,91,87
3,99,97,5,2,1,6,100,98,4,23,18,22,24,17,20,19,25,26,21,77,79,85,78,82,86,83,81,84,80,34,27,28,29,32,36,30,33,31,35,76,75,74,73,68,72,69,67,71,70,41,38,46,40,42,39,37,45,43,44,15,9,13,10,11,8,7,12,14,16,64,59,57,58,66,62,60,65,61,63,93,95,90,88,92,91,96,94,87,89,55,52,56,48,49,50,53,54,51,47
33,29,27,35,32,31,36,30,28,34,53,48,52,54,47,50,49,55,56,51,7,9,15,8,12,16,13,11,14,10,64,57,58,59,62,66,60,63,61,65,6,5,4,3,98,2,99,97,1,100,71,68,76,70,72,69,67,75,73,74,45,39,43,40,41,38,37,42,44,46,94,89,87,88,96,92,90,95,91,93,23,25,20,18,22,21,26,24,17,19,85,82,86,78,79,80,83,84,81,77
23,19,17,25,22,21,26,20,18,24,43,38,42,44,37,40,39,45,46,41,97,99,5,98,2,6,3,1,4,100,54,47,48,49,52,56,50,53,51,55,96,95,94,93,88,92,89,87,91,90,61,58,66,60,62,59,57,65,63,64,35,29,33,30,31,28,27,32,34,36,84,79,77,78,86,82,80,85,81,83,13,15,10,8,12,11,16,14,7,9,75,72,76,68,69,70,73,74,71,67
93,89,87,95,92,91,96,90,88,94,13,8,12,14,7,10,9,15,16,11,67,69,75,68,72,76,73,71,74,70,24,17,18,19,22,26,20,23,21,25,66,65,64,63,58,62,59,57,61,60,31,28,36,30,32,29,27,35,33,34,5,99,3,100,1,98,97,2,4,6,54,49,47,48,56,52,50,55,51,53,83,85,80,78,82,81,86,84,77,79,45,42,46,38,39,40,43,44,41,37
