50,47,46,49,48,53,54,51,52,60,55,57,61,62,56,63,58,59,66,71,68,69,67,70,65,72,64,80,79,75,74,73,78,81,76,77,3,1,4,7,6,9,2,8,5,12,17,14,15,13,18,11,10,16,21,25,19,27,26,24,22,20,23,35,34,32,33,36,28,31,29,30,39,37,38,43,45,41,40,44,42
14,11,10,13,12,17,18,15,16,24,19,21,25,26,20,27,22,23,30,35,32,33,31,34,29,36,28,44,43,39,38,37,42,45,40,41,48,46,49,52,51,54,47,53,50,57,62,59,60,58,63,56,55,61,66,70,64,72,71,69,67,65,68,80,79,77,78,81,73,76,74,75,3,1,2,7,9,5,4,8,6
77,74,73,76,75,80,81,78,79,6,1,3,7,8,2,9,4,5,12,17,14,15,13,16,11,18,10,26,25,21,20,19,24,27,22,23,30,28,31,34,33,36,29,35,32,39,44,41,42,40,45,38,37,43,48,52,46,54,53,51,49,47,50,62,61,59,60,63,55,58,56,57,66,64,65,70,72,68,67,71,69
68,65,64,67,66,71,72,69,70,78,73,75,79,80,74,81,76,77,3,8,5,6,4,7,2,9,1,17,16,12,11,10,15,18,13,14,21,19,22,25,24,27,20,26,23,30,35,32,33,31,36,29,28,34,39,43,37,45,44,42,40,38,41,53,52,50,51,54,46,49,47,48,57,55,56,61,63,59,58,62,60
59,56,55,58,57,62,63,60,61,69,64,66,70,71,65,72,67,68,75,80,77,78,76,79,74,81,73,8,7,3,2,1,6,9,4,5,12,10,13,16,15,18,11,17,14,21,26,23,24,22,27,20,19,25,30,34,28,36,35,33,31,29,32,44,43,41,42,45,37,40,38,39,48,46,47,52,54,50,49,53,51
41,38,37,40,39,44,45,42,43,51,46,48,52,53,47,54,49,50,57,62,59,60,58,61,56,63,55,71,70,66,65,64,69,72,67,68,75,73,76,79,78,81,74,80,77,3,8,5,6,4,9,2,1,7,12,16,10,18,17,15,13,11,14,26,25,23,24,27,19,22,20,21,30,28,29,34,36,32,31,35,33
5,2,1,4,3,8,9,6,7,15,10,12,16,17,11,18,13,14,21,26,23,24,22,25,20,27,19,35,34,30,29,28,33,36,31,32,39,37,40,43,42,45,38,44,41,48,53,50,51,49,54,47,46,52,57,61,55,63,62,60,58,56,59,71,70,68,69,72,64,67,65,66,75,73,74,79,81,77,76,80,78
23,20,19,22,21,26,27,24,25,33,28,30,34,35,29,36,31,32,39,44,41,42,40,43,38,45,37,53,52,48,47,46,51,54,49,50,57,55,58,61,60,63,56,62,59,66,71,68,69,67,72,65,64,70,75,79,73,81,80,78,76,74,77,8,7,5,6,9,1,4,2,3,12,10,11,16,18,14,13,17,15
32,29,28,31,30,35,36,33,34,42,37,39,43,44,38,45,40,41,48,53,50,51,49,52,47,54,46,62,61,57,56,55,60,63,58,59,66,64,67,70,69,72,65,71,68,75,80,77,78,76,81,74,73,79,3,7,1,9,8,6,4,2,5,17,16,14,15,18,10,13,11,12,21,19,20,25,27,23,22,26,24
6,3,2,5,4,9,10,7,8,16,11,13,17,18,12,19,14,15,22,27,24,25,23,26,21,28,20,36,35,31,30,29,34,37,32,33,40,38,41,44,43,46,39,45,42,49,54,51,52,50,55,48,47,53,58,62,56,64,63,61,59,57,60,72,71,69,70,73,65,68,66,67,76,74,75,80,1,78,77,81,79
